meetingName,meetingDate,raceNumber,runnerNumber,Unnamed: 0,location,weatherCondition,trackCondition,raceName,raceStartTime,raceDistance,trackDirection,raceClassConditions,runnerName,riderName,finishingPosition,FixedWinOpen,FixedWinClose,overall (runner starts),track (runner starts),firm (runner starts),good (runner starts),dead (runner starts),slow (runner starts),soft (runner starts),heavy (runner starts),distance (runner starts),classSame (runner starts),classStronger (runner starts),firstUp (runner starts),secondUp (runner starts),trackDistance (runner starts),overall (runner wins),track (runner wins),firm (runner wins),good (runner wins),dead (runner wins),slow (runner wins),soft (runner wins),heavy (runner wins),distance (runner wins),classSame (runner wins),classStronger (runner wins),firstUp (runner wins),secondUp (runner wins),trackDistance (runner wins),overall (runner placings),track (runner placings),firm (runner placings),good (runner placings),dead (runner placings),slow (runner placings),soft (runner placings),heavy (runner placings),distance (runner placings),classSame (runner placings),classStronger (runner placings),firstUp (runner placings),secondUp (runner placings),trackDistance (runner placings),track (trainer starts),region (trainer starts),last30Days (trainer starts),last12Months (trainer starts),jockey (trainer starts),track (trainer wins),region (trainer wins),last30Days (trainer wins),last12Months (trainer wins),jockey (trainer wins),track (trainer placings),region (trainer placings),last30Days (trainer placings),last12Months (trainer placings),jockey (trainer placings),track (rider starts),region (rider starts),last30Days (rider starts),last12Months (rider starts),runner (rider starts),track (rider wins),region (rider wins),last30Days (rider wins),last12Months (rider wins),runner (rider wins),track (rider placings),region (rider placings),last30Days (rider placings),last12Months (rider placings),runner (rider placings)
SANDOWN,02/02/2022 12:00:00 AM,2,9,,,SHWRY,GOOD3,LADBROKES SWITCH PLATE,02/02/2022 04:15:00 PM,1400,,3Y+MSW,SIR PHOENIX,B.PREBBLE,0.0,6.0,5.0,4,0,0,3,0,1,1,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,2,3,0,0,1,0,13,79,30,412,0,2,6,5,49,0,5,13,8,104,0,18,213,31,364,0,2,29,2,58,0,3,42,6,76,0
SANDOWN,02/02/2022 12:00:00 AM,2,8,,,SHWRY,GOOD3,LADBROKES SWITCH PLATE,02/02/2022 04:15:00 PM,1400,,3Y+MSW,ROYAL SHAKESPEARE,Lucinda Boyd,-2.0,15.0,17.0,3,0,0,1,0,1,1,1,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2,6,6,0,0,0,1,1,0,0,1,1,1,0,0,3,141,1,0,0,0,6,0,0,0,1,25,1
SANDOWN,02/02/2022 12:00:00 AM,2,10,,,SHWRY,GOOD3,LADBROKES SWITCH PLATE,02/02/2022 04:15:00 PM,1400,,3Y+MSW,DOMINION DANCER,J.NOONAN,0.0,71.0,201.0,12,0,0,8,7,0,3,1,6,12,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,12,72,39,670,1,2,8,1,50,0,0,8,5,135,0
SANDOWN,02/02/2022 12:00:00 AM,2,5,,,SHWRY,GOOD3,LADBROKES SWITCH PLATE,02/02/2022 04:15:00 PM,1400,,3Y+MSW,HEALING GAME,Jamie Kah,1.0,3.8,1.95,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,65,524,100,1543,48,7,81,21,302,13,21,148,21,433,11,49,379,67,520,0,6,68,9,106,0,16,102,27,146,0
SANDOWN,02/02/2022 12:00:00 AM,2,4,,,SHWRY,GOOD3,LADBROKES SWITCH PLATE,02/02/2022 04:15:00 PM,1400,,3Y+MSW,COUNT OF SANCERRE,R.MC LEOD,0.0,9.0,18.0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,14,56,11,162,6,2,4,3,17,0,3,16,3,43,4,7,38,11,240,1,3,6,1,27,0,0,5,4,54,1
SANDOWN,02/02/2022 12:00:00 AM,2,7,,,SHWRY,GOOD3,LADBROKES SWITCH PLATE,02/02/2022 04:15:00 PM,1400,,3Y+MSW,OCEAN RAIDER,Damian Lane,2.0,6.0,7.5,2,2,0,2,2,0,0,0,2,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,30,191,52,589,10,2,12,4,43,0,6,42,13,135,5,52,412,93,829,1,6,55,12,135,0,14,97,33,229,1
SANDOWN,02/02/2022 12:00:00 AM,2,6,,,SHWRY,GOOD3,LADBROKES SWITCH PLATE,02/02/2022 04:15:00 PM,1400,,3Y+MSW,KILRONAN,J.MOTT,3.0,41.0,151.0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,70,0,0,1,0,9,0,0,1,1,16,0,24,143,55,760,1,1,11,5,76,0,2,19,13,173,0
SANDOWN,02/02/2022 12:00:00 AM,2,1,,,SHWRY,GOOD3,LADBROKES SWITCH PLATE,02/02/2022 04:15:00 PM,1400,,3Y+MSW,GOLD VEE EYE PEA,L.MCNEIL,0.0,51.0,101.0,10,0,0,6,3,2,2,2,5,10,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,7,0,0,0,1,1,0,0,0,0,1,0,4,33,47,570,0,0,5,6,45,0,0,5,9,110,0
SANDOWN,02/02/2022 12:00:00 AM,3,3,,,SHWRY,GOOD3,LADBROKES BLENDED BETS HANDICAP,02/02/2022 04:50:00 PM,1400,,3YB-64,PASCERO,D.LANE,1.0,4.0,2.9,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,225,47,705,2,1,20,6,83,0,4,36,12,150,0,52,412,93,829,0,6,55,12,135,0,14,97,33,229,0
SANDOWN,02/02/2022 12:00:00 AM,3,2,,,SHWRY,GOOD3,LADBROKES BLENDED BETS HANDICAP,02/02/2022 04:50:00 PM,1400,,3YB-64,MURRAMI EXPRESS,J.KAH,0.0,2.4,3.0,8,4,0,5,4,2,2,1,3,1,5,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,5,3,0,4,3,0,0,1,2,1,3,2,1,2,24,283,59,626,39,2,28,8,73,4,6,76,25,166,16,49,379,67,520,2,6,68,9,106,0,16,102,27,146,2
